Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,Age
1,60,RL,65.0,8450,1,,1,Lvl,1,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,196.0,4,3,PConc,4.0,3.0,No,6.0,706,1.0,0,150,856,GasA,5,1,SBrkr,856,854,0,1710,1,0,2,1,3,1,4,8,0,0,0.0,Attchd,2003.0,RFn,2,548,3.0,3.0,1,0,61,0,0,0,0,0.0,0.0,,0,2,2008,WD,Normal,208500,19
2,20,RL,80.0,9600,1,,1,Lvl,1,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,4.0,3.0,Gd,5.0,978,1.0,0,284,1262,GasA,5,1,SBrkr,1262,0,0,1262,0,1,2,0,3,1,3,6,0,1,3.0,Attchd,1976.0,RFn,2,460,3.0,3.0,1,298,0,0,0,0,0,0.0,0.0,,0,5,2007,WD,Normal,181500,46
3,60,RL,68.0,11250,1,,0,Lvl,1,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,162.0,4,3,PConc,4.0,3.0,Mn,6.0,486,1.0,0,434,920,GasA,5,1,SBrkr,920,866,0,1786,1,0,2,1,3,1,4,6,0,1,3.0,Attchd,2001.0,RFn,2,608,3.0,3.0,1,0,42,0,0,0,0,0.0,0.0,,0,9,2008,WD,Normal,223500,21
4,70,RL,60.0,9550,1,,0,Lvl,1,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,3,3,BrkTil,3.0,4.0,No,5.0,216,1.0,0,540,756,GasA,4,1,SBrkr,961,756,0,1717,1,0,1,0,3,1,4,7,0,1,4.0,Detchd,1998.0,Unf,3,642,3.0,3.0,1,0,35,272,0,0,0,0.0,0.0,,0,2,2006,WD,Abnorml,140000,107
5,60,RL,84.0,14260,1,,0,Lvl,1,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,4,3,PConc,4.0,3.0,Av,6.0,655,1.0,0,490,1145,GasA,5,1,SBrkr,1145,1053,0,2198,1,0,2,1,4,1,4,9,0,1,3.0,Attchd,2000.0,RFn,3,836,3.0,3.0,1,192,84,0,0,0,0,0.0,0.0,,0,12,2008,WD,Normal,250000,22
6,50,RL,85.0,14115,1,,0,Lvl,1,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,Wood,4.0,3.0,No,6.0,732,1.0,0,64,796,GasA,5,1,SBrkr,796,566,0,1362,1,0,1,1,1,1,3,5,0,0,0.0,Attchd,1993.0,Unf,2,480,3.0,3.0,1,40,30,0,320,0,0,0.0,3.0,Shed,700,10,2009,WD,Normal,143000,29
7,20,RL,75.0,10084,1,,1,Lvl,1,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,186.0,4,3,PConc,5.0,3.0,Av,6.0,1369,1.0,0,317,1686,GasA,5,1,SBrkr,1694,0,0,1694,1,0,2,0,3,1,4,7,0,1,4.0,Attchd,2004.0,RFn,2,636,3.0,3.0,1,255,57,0,0,0,0,0.0,0.0,,0,8,2007,WD,Normal,307000,18
8,60,RL,,10382,1,,0,Lvl,1,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,3,3,CBlock,4.0,3.0,Mn,5.0,859,4.0,32,216,1107,GasA,5,1,SBrkr,1107,983,0,2090,1,0,2,1,3,1,3,7,0,2,3.0,Attchd,1973.0,RFn,2,484,3.0,3.0,1,235,204,228,0,0,0,0.0,0.0,Shed,350,11,2009,WD,Normal,200000,49
9,50,RM,51.0,6120,1,,1,Lvl,1,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,Wd Shng,None,0.0,3,3,BrkTil,3.0,3.0,No,1.0,0,1.0,0,952,952,GasA,4,1,FuseF,1022,752,0,1774,0,0,2,0,2,2,3,8,1,2,3.0,Detchd,1931.0,Unf,2,468,2.0,3.0,1,90,0,205,0,0,0,0.0,0.0,,0,4,2008,WD,Abnorml,129900,91
10,190,RL,50.0,7420,1,,1,Lvl,1,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3.0,3.0,No,6.0,851,1.0,0,140,991,GasA,5,1,SBrkr,1077,0,0,1077,1,0,1,0,2,2,3,5,0,2,3.0,Attchd,1939.0,RFn,1,205,4.0,3.0,1,0,4,0,0,0,0,0.0,0.0,,0,1,2008,WD,Normal,118000,83
11,20,RL,70.0,11200,1,,1,Lvl,1,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3.0,3.0,No,3.0,906,1.0,0,134,1040,GasA,5,1,SBrkr,1040,0,0,1040,1,0,1,0,3,1,3,5,0,0,0.0,Detchd,1965.0,Unf,1,384,3.0,3.0,1,0,0,0,0,0,0,0.0,0.0,,0,2,2008,WD,Normal,129500,57
